"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_names","who","...1","outcome"
"89",0.716,0.558,8,-8.119,0,0.0787,0.289,0.0645,0.154,0.438,123.968,"audio_features","1wmFmr7dOdK8Cjh60yFltt","spotify:track:1wmFmr7dOdK8Cjh60yFltt","https://api.spotify.com/v1/tracks/1wmFmr7dOdK8Cjh60yFltt","https://api.spotify.com/v1/audio-analysis/1wmFmr7dOdK8Cjh60yFltt",160766,4,"Young Hearts 2.0","carly",NA,1
"90",0.732,0.328,5,-8.13,1,0.0327,0.487,0,0.0677,0.385,141.789,"audio_features","3d3LHam2Lc5ADEyJxG3fXE","spotify:track:3d3LHam2Lc5ADEyJxG3fXE","https://api.spotify.com/v1/tracks/3d3LHam2Lc5ADEyJxG3fXE","https://api.spotify.com/v1/audio-analysis/3d3LHam2Lc5ADEyJxG3fXE",199391,4,"Thinking 'Bout Love","carly",NA,1
"91",0.54,0.709,7,-8.349,0,0.0685,0.00837,3.17e-05,0.267,0.375,172.114,"audio_features","4qPUPlHOGPmeNo4sWQkF9H","spotify:track:4qPUPlHOGPmeNo4sWQkF9H","https://api.spotify.com/v1/tracks/4qPUPlHOGPmeNo4sWQkF9H","https://api.spotify.com/v1/audio-analysis/4qPUPlHOGPmeNo4sWQkF9H",159070,4,"Lazy Love","carly",NA,1
"92",0.68,0.722,7,-5.214,0,0.0683,0.18,0.000137,0.339,0.2,120.012,"audio_features","3x7jbRUvcoULvi1WFEHo5w","spotify:track:3x7jbRUvcoULvi1WFEHo5w","https://api.spotify.com/v1/tracks/3x7jbRUvcoULvi1WFEHo5w","https://api.spotify.com/v1/audio-analysis/3x7jbRUvcoULvi1WFEHo5w",187990,4,"Motion","carly",NA,1
"93",0.782,0.469,0,-10.876,1,0.154,0.897,0.0339,0.107,0.228,122.02,"audio_features","5BcgMsAhoEgR6nmZHhAZEg","spotify:track:5BcgMsAhoEgR6nmZHhAZEg","https://api.spotify.com/v1/tracks/5BcgMsAhoEgR6nmZHhAZEg","https://api.spotify.com/v1/audio-analysis/5BcgMsAhoEgR6nmZHhAZEg",190016,4,"Hallucinogenics - Vallis Alps Remix","carly",NA,1
"94",0.737,0.56,9,-8.281,0,0.127,0.815,0.00164,0.125,0.812,80.006,"audio_features","10qar57dEiw0arPhQ3NTU5","spotify:track:10qar57dEiw0arPhQ3NTU5","https://api.spotify.com/v1/tracks/10qar57dEiw0arPhQ3NTU5","https://api.spotify.com/v1/audio-analysis/10qar57dEiw0arPhQ3NTU5",201179,4,"Unwind","carly",NA,1
"95",0.69,0.732,6,-6.823,1,0.242,0.45,0.000116,0.197,0.578,155.958,"audio_features","4cS8gbYBfxSQakRELQpg0W","spotify:track:4cS8gbYBfxSQakRELQpg0W","https://api.spotify.com/v1/tracks/4cS8gbYBfxSQakRELQpg0W","https://api.spotify.com/v1/audio-analysis/4cS8gbYBfxSQakRELQpg0W",158457,4,"Fine","carly",NA,1
"96",0.805,0.483,1,-7.805,1,0.151,0.46,0,0.13,0.291,116.034,"audio_features","0niO7y7fkPiRGkvbovRZ9o","spotify:track:0niO7y7fkPiRGkvbovRZ9o","https://api.spotify.com/v1/tracks/0niO7y7fkPiRGkvbovRZ9o","https://api.spotify.com/v1/audio-analysis/0niO7y7fkPiRGkvbovRZ9o",172711,4,"Water Flow (Hazey Eyes Remix)","carly",NA,1
"97",0.736,0.872,5,-5.03,0,0.0558,0.211,0.0606,0.287,0.689,118.014,"audio_features","2Al2n6ziP5XjIMZEL4laQj","spotify:track:2Al2n6ziP5XjIMZEL4laQj","https://api.spotify.com/v1/tracks/2Al2n6ziP5XjIMZEL4laQj","https://api.spotify.com/v1/audio-analysis/2Al2n6ziP5XjIMZEL4laQj",282729,4,"Dumb Love","carly",NA,1
"98",0.537,0.315,5,-13.79,1,0.0271,0.588,2.29e-05,0.206,0.575,86.813,"audio_features","2Pr1nZpt8A8WP7QYpyq6L3","spotify:track:2Pr1nZpt8A8WP7QYpyq6L3","https://api.spotify.com/v1/tracks/2Pr1nZpt8A8WP7QYpyq6L3","https://api.spotify.com/v1/audio-analysis/2Pr1nZpt8A8WP7QYpyq6L3",190320,4,"Wildflowers","carly",NA,1
"99",0.705,0.743,1,-6.631,1,0.042,0.432,0.0133,0.103,0.374,118.552,"audio_features","6UBjSnyP1O5W5ndJoO9vUk","spotify:track:6UBjSnyP1O5W5ndJoO9vUk","https://api.spotify.com/v1/tracks/6UBjSnyP1O5W5ndJoO9vUk","https://api.spotify.com/v1/audio-analysis/6UBjSnyP1O5W5ndJoO9vUk",324423,4,"Night Moves","carly",NA,1
"100",0.512,0.6,9,-9.699,1,0.0392,0.698,0.644,0.101,0.755,167.323,"audio_features","01WQr2XhNnZMu4bjkgLN5s","spotify:track:01WQr2XhNnZMu4bjkgLN5s","https://api.spotify.com/v1/tracks/01WQr2XhNnZMu4bjkgLN5s","https://api.spotify.com/v1/audio-analysis/01WQr2XhNnZMu4bjkgLN5s",204467,4,"Morning Song","carly",NA,1
"101",0.737,0.757,2,-5.874,1,0.0437,0.168,1.14e-05,0.215,0.851,130.052,"audio_features","5VjVqlPfslXPqORPGk5HlH","spotify:track:5VjVqlPfslXPqORPGk5HlH","https://api.spotify.com/v1/tracks/5VjVqlPfslXPqORPGk5HlH","https://api.spotify.com/v1/audio-analysis/5VjVqlPfslXPqORPGk5HlH",149831,4,"Whatever Comes My Way","Annie",1,0
"102",0.852,0.549,10,-7.31,0,0.317,0.0988,1.35e-06,0.122,0.666,162.027,"audio_features","01ukVTKa6DhejzNulpoG2t","spotify:track:01ukVTKa6DhejzNulpoG2t","https://api.spotify.com/v1/tracks/01ukVTKa6DhejzNulpoG2t","https://api.spotify.com/v1/audio-analysis/01ukVTKa6DhejzNulpoG2t",164613,4,"damn Right","Annie",2,0
"103",0.573,0.683,5,-6.644,1,0.176,0.461,0,0.0935,0.817,169.519,"audio_features","0qRR9d89hIS0MHRkQ0ejxX","spotify:track:0qRR9d89hIS0MHRkQ0ejxX","https://api.spotify.com/v1/tracks/0qRR9d89hIS0MHRkQ0ejxX","https://api.spotify.com/v1/audio-analysis/0qRR9d89hIS0MHRkQ0ejxX",142787,4,"Rich Girl","Annie",3,0
"104",0.721,0.707,6,-6.364,1,0.0595,0.181,3.68e-06,0.143,0.743,125.005,"audio_features","2aPTvyE09vUCRwVvj0I8WK","spotify:track:2aPTvyE09vUCRwVvj0I8WK","https://api.spotify.com/v1/tracks/2aPTvyE09vUCRwVvj0I8WK","https://api.spotify.com/v1/audio-analysis/2aPTvyE09vUCRwVvj0I8WK",158206,4,"Sundress","Annie",4,0
"105",0.714,0.663,8,-5.799,1,0.0694,0.145,0,0.264,0.64,95.497,"audio_features","4DAaQ5InUO23d8yNRbB0Yj","spotify:track:4DAaQ5InUO23d8yNRbB0Yj","https://api.spotify.com/v1/tracks/4DAaQ5InUO23d8yNRbB0Yj","https://api.spotify.com/v1/audio-analysis/4DAaQ5InUO23d8yNRbB0Yj",206073,4,"6's to 9's","Annie",5,0
"106",0.725,0.709,2,-6.514,1,0.072,0.588,0,0.135,0.353,110.024,"audio_features","0Z7nGFVCLfixWctgePsRk9","spotify:track:0Z7nGFVCLfixWctgePsRk9","https://api.spotify.com/v1/tracks/0Z7nGFVCLfixWctgePsRk9","https://api.spotify.com/v1/audio-analysis/0Z7nGFVCLfixWctgePsRk9",235636,4,"TEXAS HOLD 'EM","Annie",6,0
"107",0.774,0.439,5,-7.612,0,0.0364,0.595,0.00127,0.109,0.661,125.085,"audio_features","2bsC6KLZ6a9v6zdoDkziBL","spotify:track:2bsC6KLZ6a9v6zdoDkziBL","https://api.spotify.com/v1/tracks/2bsC6KLZ6a9v6zdoDkziBL","https://api.spotify.com/v1/audio-analysis/2bsC6KLZ6a9v6zdoDkziBL",164627,4,"Dirty Love","Annie",7,0
"108",0.446,0.247,11,-13.036,0,0.0287,0.905,0.233,0.111,0.245,138.328,"audio_features","4x1dWc1GgAfC04GcTlllax","spotify:track:4x1dWc1GgAfC04GcTlllax","https://api.spotify.com/v1/tracks/4x1dWc1GgAfC04GcTlllax","https://api.spotify.com/v1/audio-analysis/4x1dWc1GgAfC04GcTlllax",106250,1,"Lake Missoula","Annie",8,0
